TRADEDATE,IMOEX,MOEX10
2017-07-05,1921.38,4202.26
2017-07-06,1923.22,4211.75
2017-07-07,1912.48,4204.92
2017-07-10,1925.74,4251.44
2017-07-11,1937.64,4283.5
2017-07-12,1954.39,4321.85
2017-07-13,1959.91,4316.08
2017-07-14,1960.69,4305.58
2017-07-17,1959.11,4306.77
2017-07-18,1947.71,4268.39
2017-07-19,1951.89,4269.55
2017-07-20,1946.51,4226.15
2017-07-21,1925.13,4182.75
2017-07-24,1931.75,4189.13
2017-07-25,1923.73,4174.21
2017-07-26,1933.1,4192.17
2017-07-27,1945.12,4213.31
2017-07-28,1916.75,4161.86
2017-07-31,1919.53,4196.57
2017-08-01,1940.14,4237.71
2017-08-02,1965.48,4292.29
2017-08-03,1965.29,4286.24
2017-08-04,1953.49,4277.28
2017-08-07,1970.37,4309.04
2017-08-08,1989.61,4347.77
2017-08-09,1975.91,4336.24
2017-08-10,1960.23,4290.59
2017-08-11,1944.83,4241.79
2017-08-14,1951.75,4264.33
2017-08-15,1950.28,4255.84
2017-08-16,1942.88,4225.06
2017-08-17,1941.52,4216.64
2017-08-18,1930.71,4181.81
2017-08-21,1937.66,4180.37
2017-08-22,1947.4,4183.08
2017-08-23,1958.52,4208.13
2017-08-24,1973.5,4222.03
2017-08-25,1979.14,4236.76
2017-08-28,1987.15,4254.93
2017-08-29,1989.12,4262.97
2017-08-30,2008.88,4308.31
2017-08-31,2022.22,4341.12
2017-09-01,2010.98,4341.12
2017-09-04,2003.32,4309.48
2017-09-05,2004.02,4310.32
